"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"2000 Leguas de viaje submarino (Spanish Edition)","Servilibro, Equipo de","","","Tapa blanda","","","","","9788490051085","","https://www.goodreads.com/book/show/102021726-2000-leguas-de-viaje-submarino","","","","","","","","4.50","05/15/2025","","","","","","","","Estante C","2.9.1;243;MM/DD/YYYY;YYYY-MM-DD;05/15/2025"
"A Sangre Fria 15 (Clarin B.L.U.)","Truman, Capote","El Universo","2000","Tapa blanda","330","","","Spanish","","","https://www.amazon.com/dp/8495594099?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/218tbYZ3drL._SL500_.jpg","On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. 

As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.","","7.69","Contemporary","4.09","05/14/2025","","","","","","","","Estante A"
"Abaddón el exterminador","Sábato, Ernesto","","1977","Tapa blanda","550","","","es","","","http://books.google.com.uy/books?id=5ERCAAAAYAAJ&dq=abandon+el+exterminador+sabato&hl=&source=gbs_api","","","https://books.google.com/books/content?id=5ERCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","","","","","","05/15/2025","","","","","","","","Estante C"
"Adulterio","Cohelo, Paulo","Grijalbo","2014","Tapa blanda","273","","","Español","9789974713772","","","","","","","","","Literatura","","05/10/2025","","","","","","","","Estante A"
"Alma De Una Nueva Maquina","Kidder, Tracy","","1983","Tapa blanda","356","","","es","","","https://www.goodreads.com/book/show/101323589-alma-de-una-nueva-maquina","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693910448l/101323589._SX98_.jpg","The computer revolution brought with it new methods of getting work done—just look at today's news for reports of hard-driven, highly-motivated young software and online commerce developers who sacrifice evenings and weekends to meet impossible deadlines. Tracy Kidder got a preview of this world in the late 1970s when he observed the engineers of Data General design and build a new 32-bit minicomputer in just one year. His thoughtful, prescient book, The Soul of a New Machine, tells stories of 35-year-old ""veteran"" engineers hiring recent college graduates and encouraging them to work harder and faster on complex and difficult projects, exploiting the youngsters' ignorance of normal scheduling processes while engendering a new kind of work ethic.

These days, we are used to the ""total commitment"" philosophy of managing technical creation, but Kidder was surprised and even a little alarmed at the obsessions and compulsions he found. From in-house political struggles to workers being permitted to tease management to marathon 24-hour work sessions, The Soul of a New Machine explores concepts that already seem familiar, even old-hat, less than 20 years later. Kidder plainly admires his subjects; while he admits to hopeless confusion about their work, he finds their dedication heroic. The reader wonders, though, what will become of it all, now and in the future. —Rob Lightner","","","Non-fiction","4.12","05/15/2025","","","","","","","","Estante C"
"Amores para Armar: Colección de cartas de amor","Viola, Liliana","Libros del Quirquincho","","Tapa blanda","","","","spa","","","https://www.goodreads.com/book/show/43255332-amores-para-armar","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545067265l/43255332._SX98_.jpg","","","","","4.00","05/14/2025","","","","","","","","Estante A"
"Anecdotas Del Alma Claudio Maria Dom","Domínguez, Claudio María; BRUJAS, EDITORIAL","EDITORIAL BRUJAS","2004-01-01","Tapa blanda","146","","","Spanish","9789879880807","","https://www.amazon.com/dp/9879880803?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/31mrbJuuZoL._SL500_.jpg","","","342.83","Subjects","1.00","05/10/2025","","","","","","","","Estante A"
"Angeles y Demonios / Angels and Demons (Spanish Edition)","Brown, Dan; Murillo, Eduardo G.","Umbriel","2004-09-01","Tapa blanda","608","Robert Langdon","","Spanish","9788495618719","","https://www.amazon.com/dp/8495618710?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51DSge5Pq5L._SL500_.jpg","Robert Langdon, el renombrado profesor de simbología de la universidad de Harvard es convocado a un laboratorio de alta seguridad en Suiza para analizar un símbolo grabado con fuego en el pecho de un científico asesinado. Langdon descubre lo inimaginable, una venganza sangrienta contra la iglesia por una organización secreta, que existe desde los tiempos de Galileo: los Illuminati. 

Robert Langdon, en compañía de una atractiva científica, Victoria Vetra, entran en una carrera contra el tiempo para salvar al Vaticano de la mortal arma creada por el hombre en manos de esta peligrosa organización. Juntos se embarcan en una cacería para descifrar los códigos que los illuminatis han dejado a lo largo de los siglos en pergaminos, templos, catedrales, el vaticano, y el la catacumba más secreta de la tierra, la olvidada guarida de los illuminatis.","","32.0","United States","3.95","05/14/2025","","","","","","","","Estante A"
"Anticuerpos = Antibodies (Jet de Plaza & Janes) (Spanish Edition)","Anderson, Kevin J.; Tapia, Sonia","Harlequin","1998-04-01","Tapa dura","299","The X-Files","","Spanish","9788401473753","","https://www.amazon.com/dp/8401473756?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Q12H8790L._SL500_.jpg","En las humeantes ruinas de un laboratorio de investigacion genetica se encuentran el cadaver de un hombre que ha padecido una espantosa y desconocida enfermedad. Los agentes Mulder y Scully sospechan que anda suelto un portador de ese virus mortal. Y, en su carrera por tratar de evitar una epidemia de consecuencias devastadoras, tendran que enfrentarse a un hombre desesperado y enloquecido, un hombre cuyo mero contacto causa una muerte horripilante y tal vez una resurreccion aun mas horripilante...ES POSIBLE QUE UNAS MCQUINAS CREADAS PARA CURAR APRENDAR A MATAR?","","18.01","Science Fiction","3.60","05/15/2025","","","","","","","","Estante C"
"Arroyo amigo","Kipling, Rudyard","Bruguera.","1985","Tapa blanda","301","","","Spanish","","","https://www.amazon.com/dp/8402104274?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41leFndxOeL._SL500_.jpg","","","7.0","Subjects","3.00","05/15/2025","","","","","","","","Estante C"
"Asesinato en Roma (Cuestor Flavio Callido 1) (Spanish Edition)","Astori, Walter; Hernández Rodilla, Itziar","Roca Editorial","2019-08-31","Tapa dura","380","Questore Flavio Callido","","Spanish","9788417541521","","https://www.amazon.com/dp/8417541527?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Bl2OLTPHL._SL500_.jpg","rare book","","19.95","Historical","3.60","05/14/2025","","","","","","","","Estante A"
